no,eclipse,ours
1066,112,130
1067,112,60
1068,107,124
1069,139,168
1070,116,121
1071,81,125
1072,109,123
1073,80,139
1074,68,40
1075,94,123
1076,114,114
1077,105,105
1078,116,105
1079,75,320
1080,80,497
1081,99,253
1082,131,208
1083,112,70
1084,102,132
1085,104,47
1086,113,153
1087,94,85
1088,119,407
1089,69,122
1090,62,330
1091,101,262
1092,76,81
1093,73,82
1094,114,289
1095,98,60
1096,108,117
1097,65,41
1098,90,64
1099,137,236
1100,79,157
1101,105,72
1102,103,117
1103,79,38
1104,66,49
1105,107,241
1106,98,164
1107,69,35
1108,95,378
1109,68,293
1110,69,37
1111,67,167
1112,91,20
1113,66,89
1114,59,59
1115,141,60
1116,66,66
1117,122,68
1118,98,62
1119,97,62
1120,69,62
1121,127,297
1122,98,60
1123,97,270
1124,60,221
1125,94,422
1126,72,40
1127,133,41
1128,93,60
1129,138,62
1130,71,119
1131,101,145
1132,76,518
1133,94,96
1134,126,782
1135,69,80
1136,94,2007
1137,68,2053
1138,65,318
1139,69,97
1140,73,172
1141,109,201
1142,149,246
1143,122,38
1144,103,200
1145,112,144
1146,110,31315
1147,142,186
1148,119,35787
1149,130,35452
1150,154,322
1151,106,329
1152,82,244
1153,118,276
1154,89,2763
1155,79,256
1156,110,280
1157,140,140
1158,120,120
1159,132,132
1160,120,120
1161,129,194
1162,122,141
1163,124,187
1164,143,251
1165,130,571
1166,134,353
1167,131,248
1168,140,276
1169,123,381
1170,138,190
1171,130,140
1172,119,210
1173,135,774
1174,138,1122
1175,141,809
1176,132,1173
1177,137,897
1178,134,1233
1179,134,766
1180,138,1303
1181,115,1381
1182,143,870
1183,143,782
1184,119,898
1185,124,1026
1186,128,1641
1187,153,992
1188,146,934
1189,138,1101
1190,137,1218
1191,141,1052
1192,148,907
1193,127,810
1194,148,404
1195,134,203
1196,136,207
1197,137,329
1198,147,222
1199,151,184
1200,146,706
1201,126,178
1202,118,1061
1203,141,273
1204,136,136
1205,129,173
1206,121,901
1207,130,164
1208,141,323
1209,110,686
1210,138,1119
1211,133,742
1212,140,140
1213,134,408
1214,129,129
1215,129,665
1216,134,165
1217,134,165
1218,134,2478
1219,138,209
1220,143,682
1221,131,150
1222,138,208
1223,133,133
1224,134,166
1225,122,414
1226,149,207
1227,139,223
1228,143,186
1229,138,339
1230,131,286
1231,139,190
1232,148,174
1233,144,446
1234,144,295
1235,132,415
1236,133,2077
1237,127,658
1238,162,285
1239,138,425
1240,135,218
1241,144,420
1242,140,373
1243,150,285
1244,135,784
1245,135,230
1246,142,382
1247,137,582
1248,129,1953
1249,144,275
1250,154,398
1251,139,2056
1252,157,544
1253,143,2139
1254,133,472
1255,140,223
1256,124,1996
1257,132,509
1258,126,578
1259,141,1947
1260,133,441
1261,136,497
1262,141,813
1263,140,189
1264,115,254
1265,155,385
1266,133,439
1267,138,571
1268,143,463
1269,138,284
1270,147,376
1271,141,465
1272,148,501
1273,134,1630
1274,137,1131
1275,131,1291
1276,127,2207
1277,139,2053
1278,141,1097
1279,134,1630
1280,128,1001
1281,130,589
1282,140,618
1283,139,610
1284,113,1240
1285,138,883
1286,138,1349
1287,126,1244
1288,144,1629
1289,147,1494
1290,147,1214
1291,136,998
1292,137,969
1293,133,1878
1294,141,1264
1295,141,1608
1296,140,793
1297,126,1010
1298,135,585
1299,143,1282
1300,147,1270
1301,135,1968
1302,129,898
1303,111,1945
1304,141,957
1305,143,1673
1306,136,1838
1307,143,1903
1308,123,896
1309,142,2022
1310,135,1206
1311,123,1277
1312,142,3086
1313,139,1073
1314,138,3517
1315,126,126
1316,123,1461
1317,139,139
1318,126,126
1319,130,3111
1320,143,143
1321,137,3492
1322,139,139
1323,129,4431
1324,124,124
1325,152,9646
1326,123,123
1327,127,3142
1328,145,3237
1329,139,139
1330,127,127
1331,132,1669
1332,135,3310
1333,141,3205
1334,142,3407
1335,134,3068
1336,113,103
1337,84,361
1338,112,817
1339,112,252
1340,89,250
1341,160,180
1342,178,3363
1343,123,166
1344,99,153
1345,149,688
1346,127,738
1347,129,1803
1348,142,314
1349,127,294
1350,117,93
1351,128,92
1352,121,92
1353,118,92
1354,127,206
1355,116,275
1356,128,96
1357,119,132
1358,121,144
1359,127,123
1360,123,94
1361,119,126
1362,138,2637
1363,134,1893
1364,117,1672
1365,92,1790
1366,115,668
1367,96,2653
1368,139,1755
1369,91,686
1370,111,1033
1371,131,1125
1372,120,1064
1373,118,1702
1374,130,1270
1375,123,1012
1376,112,932
1377,115,1967
1378,89,1899
1379,115,1224
1380,125,125
1381,87,87
1382,120,473
1383,90,307
1384,122,228
1385,122,315
1386,114,191
1387,125,1202
1388,122,441
1389,97,329
1390,129,1199
1391,122,162
1392,129,129
1393,132,132
1394,120,460
1395,133,205
1396,121,328
1397,127,275
1398,116,274
1399,88,444
1400,109,133
1401,114,715
1402,117,1134
1403,140,678
1404,116,377
1405,115,327
1406,112,135
1407,96,280
1408,121,283
1409,122,525
1410,92,527
1411,91,522
1412,112,272
1413,90,324
1414,115,438
1415,119,538
1416,122,301
1417,119,461
1418,92,140
1419,95,299
1420,125,488
1421,125,1042
1422,132,559
1423,116,340
1424,95,278
1425,99,99
1426,111,111
1427,118,118
1428,121,126
1429,117,124
1430,115,160
1431,95,157
1432,129,124
1433,125,169
1434,120,165
1435,100,138
1436,132,132
1437,134,320
1438,94,224
1439,130,269
1440,93,93
1441,128,128
1442,144,144
1443,135,301
1444,93,359
1445,127,127
1446,111,274
1447,130,202
1448,99,99
1449,147,262
1450,129,129
1451,127,127
1452,129,129
1453,132,289
1454,114,114
1455,87,96
1456,107,193
1457,123,436
1458,120,120
1459,88,200
1460,112,291
1461,109,149
1462,115,128
1463,130,263
1464,124,159
1465,97,97
1466,108,90
1467,118,546
1468,89,389
1469,87,73
1470,112,734
1471,78,52
1472,115,53
1473,85,25430
1474,148,125
1475,83,539
1476,118,1863
1477,140,148
1478,164,113
1479,101,175
1480,117,178
1481,102,205
1482,156,213
1483,143,206
1484,144,361
1485,128,164
1486,102,145
1487,133,147
1488,135,216
1489,133,289
1490,137,258
1491,106,150
1492,131,151
1493,126,1109
1494,126,529
1495,131,254
1496,147,476
1497,124,1107
1498,189,1194
1499,135,549
1500,132,338
1501,133,794
1502,131,787
1503,116,197
1504,100,300
1505,127,153
1506,131,236
1507,103,195
1508,136,357
1509,132,304
1510,125,202
1511,140,368
1512,136,276
1513,124,287
1514,129,366
1515,124,306
1516,134,410
1517,106,209
1518,103,224
1519,131,348
1520,118,228
1521,138,90
1522,91,197
1523,127,173
1524,119,226
1525,114,374
1526,113,92
1527,114,50
1528,107,113
1529,85,51
1530,108,64
1531,114,73
1532,150,147
1533,83,83
1534,115,45
1535,117,117
1536,112,114
1537,92,157
1538,79,45
1539,95,238
1540,116,158
1541,93,92
1542,116,92
1543,111,114
1544,79,91
1545,80,127
1546,80,80
1547,141,141
1548,113,80
1549,100,89
1550,102,102
1551,88,192
1552,102,146
1553,118,98
1554,81,107
1555,106,83
1556,104,104
1557,109,100
1558,78,53
1559,128,64
1560,107,110
1561,84,84
1562,89,50
1563,76,76
1564,89,124
1565,84,89
1566,108,108
1567,115,73
1568,81,81
1569,101,101
1570,112,102
1571,78,78
1572,104,136
1573,79,125
1574,76,76
1575,114,158
1576,105,257
1577,109,109
1578,119,78
1579,79,129
1580,103,54
1581,84,46
1582,135,93
1583,78,80
1584,107,83
1585,85,106
1586,77,77
1587,129,129
1588,129,63
1589,107,107
1590,109,88
1591,106,108
1592,104,104
1593,116,55
1594,107,107
1595,114,114
1596,81,103
1597,85,85
1598,122,296
1599,126,62
1600,120,3931
1601,120,120
1602,88,88
1603,125,860
1604,110,487
1605,119,609
1606,136,535
1607,97,97
1608,154,146
1609,129,133
1610,94,130
1611,125,126
1612,91,164
1613,122,87
1614,99,99
1615,151,132
1616,92,102
1617,86,92
1618,142,142
1619,132,1118
1620,133,385
1621,124,172
1622,111,202
1623,127,85
1624,133,169
1625,147,255
1626,132,786
1627,166,95
1628,132,432
1629,136,252
1630,122,1032
1631,126,174
1632,135,159
1633,120,25208
1634,155,159
1635,130,25297
1636,161,316
1637,107,188
1638,125,125
1639,157,165
1640,125,189
1641,141,352
1642,156,247
1643,134,134
1644,127,216
1645,130,726
1646,131,172
1647,146,199
1648,139,184
1649,130,169
1650,133,157
1651,107,160
1652,148,156
1653,129,159
1654,120,344
1655,108,358
1656,119,106
1657,122,75
1658,86,509
1659,127,25235
1660,129,116
