no,eclipse,ours
1410,136,136
1411,134,298
1412,137,121
1413,134,119
1414,136,4651
1415,129,1606
1416,124,4098
1417,129,1159
1418,140,963
1419,138,1277
1420,131,18564
1421,142,136
1422,143,144
1423,121,2747
1424,122,2766
1425,127,9491
1426,141,205
1427,137,1455
1428,124,188
1429,130,209
1430,144,186
1431,139,2970
1432,129,85
1433,133,185
1434,135,1525
1435,125,122
1436,137,137
1437,138,121
1438,139,141
1439,133,165
1440,138,118
1441,139,116
1442,136,117
1443,137,280
1444,133,119
1445,142,115
1446,135,119
1447,121,121
1448,134,161
1449,132,181
1450,142,142
1451,127,118
1452,123,123
1453,137,137
1454,113,584
1455,121,227
1456,119,129
1457,117,317
1458,128,134
1459,113,165
1460,131,76
1461,137,77
1462,101,76
1463,102,109
1464,162,107
1465,124,134
1466,100,105
1467,119,104
1468,155,1542
1469,134,251
1470,134,1432
1471,105,135
1472,129,1103
1473,129,752
1474,136,1003
1475,125,612
1476,133,1069
1477,125,2108
1478,123,506
1479,148,239
1480,146,2697
1481,126,319
1482,141,135
1483,137,86
1484,121,507
1485,130,713
1486,136,567
1487,137,134
1488,149,1790
1489,149,133
1490,136,2482
1491,132,85
1492,146,490
1493,135,2446
1494,125,137
1495,144,3309
1496,136,135
1497,143,133
1498,134,131
1499,149,241
1500,135,1472
1501,127,1119
1502,149,1729
1503,129,2143
1504,133,607
1505,134,935
1506,133,1905
1507,124,402
1508,148,1826
1509,128,2212
1510,141,403
1511,140,321
1512,143,1748
1513,148,148
1514,143,143
1515,143,224
1516,140,146
1517,146,147
1518,145,143
1519,130,200
1520,139,614
1521,135,143
1522,151,145
1523,136,143
1524,143,259
1525,136,223
1526,147,429
1527,137,433
1528,127,262
1529,147,314
1530,133,142
1531,145,145
1532,140,150
1533,129,1931
1534,142,2058
1535,129,829
1536,145,145
1537,145,776
1538,134,832
1539,139,145
1540,138,148
1541,130,197
1542,136,199
1543,147,413
1544,135,217
1545,128,202
1546,138,143
1547,141,146
1548,147,231
1549,146,143
1550,135,149
1551,132,177
1552,144,150
1553,136,198
1554,104,30
1555,80,31
1556,105,29
1557,119,46
1558,79,79
1559,141,141
1560,127,127
1561,90,90
1562,103,103
1563,138,138
1564,116,116
1565,107,107
1566,78,78
1567,136,136
1568,106,106
1569,125,125
1570,105,105
1571,88,88
1572,136,136
1573,97,111
1574,112,139
1575,110,58
1576,110,57
1577,93,114
1578,148,140
1579,84,19
1580,136,19
1581,75,18
1582,111,22
1583,105,24
1584,149,160
1585,134,132
1586,133,831
1587,133,110
1588,127,732
1589,141,1811
1590,132,421
1591,142,916
1592,130,130
1593,139,1564
1594,131,831
1595,139,1789
1596,131,131
1597,132,130
1598,139,220
1599,136,185
1600,134,1187
1601,128,133
1602,149,130
1603,145,129
1604,148,235
1605,139,139
1606,222,222
1607,204,204
1608,225,304
1609,224,301
1610,220,220
1611,217,217
1612,216,216
1613,217,217
1614,220,1455
1615,211,211
1616,221,352
1617,228,480
1618,223,942
1619,224,332
1620,210,332
1621,222,591
1622,208,947
1623,209,329
1624,218,343
1625,227,376
1626,221,328
1627,224,577
1628,209,209
1629,207,207
1630,220,220
1631,219,219
1632,217,665
1633,210,190
1634,211,659
1635,201,377
1636,211,239
1637,208,239
1638,215,186
1639,218,299
1640,201,223
1641,214,243
1642,221,130
1643,208,296
1644,218,303
1645,207,542
1646,225,187
1647,220,547
1648,212,377
1649,204,239
1650,205,246
1651,206,143
1652,220,313
1653,205,301
1654,216,301
1655,204,184
1656,205,296
1657,210,222
1658,214,243
1659,220,399
1660,221,2364
1661,214,885
1662,205,297
1663,219,2317
1664,208,298
1665,221,647
1666,215,980
1667,204,2504
1668,212,478
1669,200,332
1670,215,367
1671,210,10733
1672,205,1320
1673,209,295
1674,211,5392
1675,212,292
1676,228,7216
1677,210,1158
1678,222,3607
1679,211,240
1680,228,335
1681,226,16837
1682,209,1338
1683,212,315
1684,219,373
1685,223,11172
1686,202,396
1687,212,4533
1688,201,296
1689,207,1106
1690,209,9413
1691,216,216
1692,225,650
1693,224,1803
1694,209,209
1695,219,569
1696,207,318
1697,229,646
1698,218,1062
1699,207,651
1700,199,422
1701,231,231
1702,221,221
1703,215,634
1704,211,660
1705,204,419
1706,232,641
1707,207,2211
1708,206,644
1709,212,665
1710,206,655
1711,209,302
1712,223,2578
1713,212,2562
1714,213,906
1715,217,1500
1716,214,4259
1717,205,1488
1718,206,1416
1719,205,166
1720,223,272
1721,225,890
1722,209,184
1723,205,238
1724,219,385
1725,209,8312
1726,210,247
1727,211,243
1728,206,8397
1729,207,302
1730,223,521
1731,223,8373
1732,225,241
1733,213,8318
1734,210,419
1735,221,2160
1736,226,2074
1737,207,2178
1738,211,431
1739,208,2246
1740,207,2138
1741,210,2266
1742,235,648
1743,206,2186
1744,207,1652
1745,221,479
1746,211,166
1747,228,485
1748,220,568
1749,223,177
1750,232,477
1751,217,667
1752,210,187
1753,230,225
1754,246,203
1755,257,898
1756,210,356
1757,203,367
1758,226,226
1759,216,216
1760,213,213
1761,240,240
1762,216,2534
1763,228,1340
1764,219,2555
1765,224,1345
1766,237,300
1767,236,299
1768,239,301
1769,217,354
1770,232,306
1771,230,300
1772,216,299
1773,236,306
1774,239,330
1775,215,340
1776,230,304
1777,211,336
1778,214,300
1779,225,909
1780,217,217
1781,230,299
1782,243,243
1783,224,224
1784,209,910
1785,211,339
1786,224,224
1787,233,233
1788,219,312
1789,207,317
1790,206,621
1791,217,217
1792,216,423
1793,221,268
1794,222,222
1795,243,353
1796,222,407
1797,208,373
1798,259,286
1799,219,226
1800,212,2366
1801,212,2592
1802,211,367
1803,253,489
1804,155,155
1805,140,140
1806,137,739
1807,148,1614
1808,138,3244
1809,149,135
1810,141,925
1811,143,709
1812,149,3699
1813,135,3214
1814,136,212
1815,144,1493
1816,148,114
1817,140,261
1818,136,818
1819,136,858
1820,145,100
1821,142,144
1822,136,462
1823,137,787
1824,148,141
1825,147,409
1826,144,146
1827,147,174
1828,190,190
1829,209,209
1830,203,203
1831,215,215
1832,220,353
1833,213,360
1834,204,311
1835,219,547
1836,213,385
1837,240,303
1838,208,356
1839,193,310
1840,207,447
1841,210,951
1842,214,330
1843,213,328
1844,206,355
1845,210,305
1846,208,347
1847,193,366
1848,207,207
1849,208,208
1850,210,210
1851,200,273
1852,211,534
1853,209,604
1854,211,472
1855,235,1403
1856,199,358
1857,212,344
1858,201,153
1859,195,276
1860,233,280
1861,210,610
1862,208,170
1863,209,617
1864,192,353
1865,201,228
1866,220,223
1867,203,275
1868,212,171
1869,204,275
1870,191,201
1871,204,221
1872,209,130
1873,193,280
1874,227,283
1875,209,515
1876,193,170
1877,206,644
1878,194,369
1879,196,226
1880,228,224
1881,200,276
1882,196,169
1883,211,271
1884,208,191
1885,203,221
1886,207,207
1887,209,209
1888,205,205
1889,198,353
1890,218,2065
1891,193,487
1892,212,707
1893,217,2031
1894,201,276
1895,202,492
